TMA,Version,4,,,,,,,,,,
.,,,,,,,,,,,,
Key,Level1,Level2,Level3,ARL-SKT,LNL-SKT,CMT,GRT,Locate-with,Count Domain,Metric Description,Metric Group,Threshold
Info.Load_Store_Bound,Load_Bound,,,100 * ( LD_HEAD.L1_BOUND_AT_RET + MEM_BOUND_STALLS_LOAD.ALL ) / #CLKS,100 * ( LD_HEAD.L1_BOUND_AT_RET + MEM_BOUND_STALLS_LOAD.ALL ) / #CLKS,100 * ( LD_HEAD.L1_BOUND_AT_RET + MEM_BOUND_STALLS_LOAD.ALL ) / #CLKS,100 * ( LD_HEAD.L1_BOUND_AT_RET + MEM_BOUND_STALLS.LOAD ) / #CLKS,,,Counts the number of cycles that the oldest load of the load buffer is stalled at retirement,load_store_bound,
Info.Load_Store_Bound,L1_Bound,,,100 * LD_HEAD.L1_BOUND_AT_RET / #CLKS,100 * LD_HEAD.L1_BOUND_AT_RET / #CLKS,100 * LD_HEAD.L1_BOUND_AT_RET / #CLKS,100 * LD_HEAD.L1_BOUND_AT_RET / #CLKS,,,Counts the number of cycles that the oldest load of the load buffer is stalled at retirement due to a pipeline block,load_store_bound,
Info.Load_Miss_Bound,%_LoadMissBound_with_L2Hit,,,100 * MEM_BOUND_STALLS_LOAD.L2_HIT / MEM_BOUND_STALLS_LOAD.ALL,100 * MEM_BOUND_STALLS_LOAD.L2_HIT / MEM_BOUND_STALLS_LOAD.ALL,100 * MEM_BOUND_STALLS_LOAD.L2_HIT / MEM_BOUND_STALLS_LOAD.ALL,100 * MEM_BOUND_STALLS.LOAD_L2_HIT / MEM_BOUND_STALLS.LOAD,,,Percentage of memory bound stalls where retirement is stalled due to an L1 miss that hit the L2,load_store_bound,
Info.Load_Miss_Bound,%_LoadMissBound_with_L2Miss,,,100 * MEM_BOUND_STALLS_LOAD.L2_MISS / MEM_BOUND_STALLS_LOAD.ALL,100 * MEM_BOUND_STALLS_LOAD.L2_MISS / MEM_BOUND_STALLS_LOAD.ALL,100 * ( MEM_BOUND_STALLS_LOAD.LLC_HIT + MEM_BOUND_STALLS_LOAD.LLC_MISS ) / MEM_BOUND_STALLS_LOAD.ALL,100 * ( MEM_BOUND_STALLS.LOAD_LLC_HIT + MEM_BOUND_STALLS.LOAD_DRAM_HIT ) / MEM_BOUND_STALLS.LOAD,,,Percentage of memory bound stalls where retirement is stalled due to an L1 miss that subsequently misses in the L2,load_store_bound,
Info.Load_Miss_Bound,%_LoadMissBound_with_L3Hit,,,100 * MEM_BOUND_STALLS_LOAD.LLC_HIT / MEM_BOUND_STALLS_LOAD.ALL,#NA,100 * MEM_BOUND_STALLS_LOAD.LLC_HIT / MEM_BOUND_STALLS_LOAD.ALL,100 * MEM_BOUND_STALLS.LOAD_LLC_HIT / MEM_BOUND_STALLS.LOAD,,,Percentage of memory bound stalls where retirement is stalled due to an L1 miss that hit the L3,load_store_bound,
Info.Load_Miss_Bound,%_LoadMissBound_with_L3Miss,,,100 * ( MEM_BOUND_STALLS_LOAD.L2_MISS - MEM_BOUND_STALLS_LOAD.LLC_HIT ) / MEM_BOUND_STALLS_LOAD.ALL,#NA,100 * MEM_BOUND_STALLS_LOAD.LLC_MISS / MEM_BOUND_STALLS_LOAD.ALL,100 * MEM_BOUND_STALLS.LOAD_DRAM_HIT / MEM_BOUND_STALLS.LOAD,,,Percentage of memory bound stalls where retirement is stalled due to an L1 miss that subsequently misses the L3,load_store_bound,
Info.Ifetch_Miss_Bound,%_IfetchMissBound_with_L2Hit,,,100 * MEM_BOUND_STALLS_IFETCH.L2_HIT / MEM_BOUND_STALLS_IFETCH.ALL,100 * MEM_BOUND_STALLS_IFETCH.L2_HIT / MEM_BOUND_STALLS_IFETCH.ALL,100 * MEM_BOUND_STALLS_IFETCH.L2_HIT / MEM_BOUND_STALLS_IFETCH.ALL,100 * MEM_BOUND_STALLS.IFETCH_L2_HIT / MEM_BOUND_STALLS.IFETCH,,,"Percentage of ifetch miss bound stalls, where the ifetch miss hits in the L2",,
Info.Ifetch_Miss_Bound,%_IfetchMissBound_with_L2Miss,,,100 * MEM_BOUND_STALLS_IFETCH.L2_MISS / MEM_BOUND_STALLS_IFETCH.ALL,100 * MEM_BOUND_STALLS_IFETCH.L2_MISS / MEM_BOUND_STALLS_IFETCH.ALL,100 * ( MEM_BOUND_STALLS_IFETCH.LLC_HIT + MEM_BOUND_STALLS_IFETCH.LLC_MISS ) / MEM_BOUND_STALLS_IFETCH.ALL,100 * ( MEM_BOUND_STALLS.IFETCH_LLC_HIT + MEM_BOUND_STALLS.IFETCH_DRAM_HIT ) / MEM_BOUND_STALLS.IFETCH,,,"Percentage of ifetch miss bound stalls, where the ifetch miss doesn't hit in the L2",,
Info.Ifetch_Miss_Bound,%_IfetchMissBound_with_L3Hit,,,100 * MEM_BOUND_STALLS_IFETCH.LLC_HIT / MEM_BOUND_STALLS_IFETCH.ALL,#NA,100 * MEM_BOUND_STALLS_IFETCH.LLC_HIT / MEM_BOUND_STALLS_IFETCH.ALL,100 * MEM_BOUND_STALLS.IFETCH_LLC_HIT / MEM_BOUND_STALLS.IFETCH,,,"Percentage of ifetch miss bound stalls, where the ifetch miss hits in the L3",,
Info.Ifetch_Miss_Bound,%_IfetchMissBound_with_L3Miss,,,100 * ( MEM_BOUND_STALLS_IFETCH.L2_MISS - MEM_BOUND_STALLS_IFETCH.LLC_HIT ) / MEM_BOUND_STALLS_IFETCH.ALL,#NA,100 * MEM_BOUND_STALLS_IFETCH.LLC_MISS / MEM_BOUND_STALLS_IFETCH.ALL,100 * MEM_BOUND_STALLS.IFETCH_DRAM_HIT / MEM_BOUND_STALLS.IFETCH,,,"Percentage of ifetch miss bound stalls, where the ifetch miss subsequently misses in the L3",,
Info.Br_Mispredict_Bound,Branch_Mispredict_Ratio,,,BR_MISP_RETIRED.ALL_BRANCHES / BR_INST_RETIRED.ALL_BRANCHES,BR_MISP_RETIRED.ALL_BRANCHES / BR_INST_RETIRED.ALL_BRANCHES,BR_MISP_RETIRED.ALL_BRANCHES / BR_INST_RETIRED.ALL_BRANCHES,BR_MISP_RETIRED.ALL_BRANCHES / BR_INST_RETIRED.ALL_BRANCHES,,,Ratio of all branches which mispredict,,
Info.Br_Mispredict_Bound,Branch_Mispredict_to_Unknown_Branch_Ratio,,,BR_MISP_RETIRED.ALL_BRANCHES / BACLEARS.ANY,BR_MISP_RETIRED.ALL_BRANCHES / BACLEARS.ANY,BR_MISP_RETIRED.ALL_BRANCHES / BACLEARS.ANY,BR_MISP_RETIRED.ALL_BRANCHES / BACLEARS.ANY,,,Ratio between Mispredicted branches and unknown branches,,
Info.Machine_Clear_Bound,Machine_Clears_Disamb_PKI,,,1000 * MACHINE_CLEARS.DISAMBIGUATION / INST_RETIRED.ANY,1000 * MACHINE_CLEARS.DISAMBIGUATION / INST_RETIRED.ANY,#NA,1000 * MACHINE_CLEARS.DISAMBIGUATION / INST_RETIRED.ANY,,,"Counts the number of machine clears relative to thousands of instructions retired, due to memory disambiguation",,
Info.Machine_Clear_Bound,Machine_Clears_FP_Assist_PKI,,,1000 * MACHINE_CLEARS.FP_ASSIST / INST_RETIRED.ANY,1000 * MACHINE_CLEARS.FP_ASSIST / INST_RETIRED.ANY,1000 * MACHINE_CLEARS.FP_ASSIST / INST_RETIRED.ANY,1000 * MACHINE_CLEARS.FP_ASSIST / INST_RETIRED.ANY,,,"Counts the number of machine clears relative to thousands of instructions retired, due to floating point assists",,
Info.Machine_Clear_Bound,Machine_Clears_Monuke_PKI,,,1000 * MACHINE_CLEARS.MEMORY_ORDERING / INST_RETIRED.ANY,1000 * MACHINE_CLEARS.MEMORY_ORDERING / INST_RETIRED.ANY,#NA,1000 * MACHINE_CLEARS.MEMORY_ORDERING / INST_RETIRED.ANY,,,"Counts the number of machine clears relative to thousands of instructions retired, due to memory ordering",,
Info.Machine_Clear_Bound,Machine_Clears_Page_Fault_PKI,,,1000 * MACHINE_CLEARS.PAGE_FAULT / INST_RETIRED.ANY,1000 * MACHINE_CLEARS.PAGE_FAULT / INST_RETIRED.ANY,1000 * MACHINE_CLEARS.PAGE_FAULT / INST_RETIRED.ANY,1000 * MACHINE_CLEARS.PAGE_FAULT / INST_RETIRED.ANY,,,"Counts the number of machine clears relative to thousands of instructions retired, due to page faults",,
Info.Machine_Clear_Bound,Machine_Clears_MRN_PKI,,,1000* MACHINE_CLEARS.MRN_NUKE / INST_RETIRED.ANY,1000* MACHINE_CLEARS.MRN_NUKE / INST_RETIRED.ANY,#NA,1000* MACHINE_CLEARS.MRN_NUKE / INST_RETIRED.ANY,,,"Counts the number of machine clears relative to thousands of instructions retired, due to memory renaming",,
Info.Machine_Clear_Bound,Machine_Clears_SMC_PKI,,,#NA,#NA,1000 * MACHINE_CLEARS.SMC / INST_RETIRED.ANY,1000 * MACHINE_CLEARS.SMC / INST_RETIRED.ANY,,,"Counts the number of machine clears relative to thousands of instructions retired, due to self-modifying code",,
Info.Buffer_Stalls,%_Store_Buffer_Stall_Cycles,,,100 * MEM_SCHEDULER_BLOCK.ST_BUF / #CLKS,100 * MEM_SCHEDULER_BLOCK.ST_BUF / #CLKS,100 * MEM_SCHEDULER_BLOCK.ST_BUF / #CLKS,100 * MEM_SCHEDULER_BLOCK.ST_BUF / #CLKS,,,Percentage of time that allocation is stalled due to store buffer full,,
Info.Buffer_Stalls,%_Load_Buffer_Stall_Cycles,,,100 * MEM_SCHEDULER_BLOCK.LD_BUF / #CLKS,100 * MEM_SCHEDULER_BLOCK.LD_BUF / #CLKS,100 * MEM_SCHEDULER_BLOCK.LD_BUF / #CLKS,100 * MEM_SCHEDULER_BLOCK.LD_BUF / #CLKS,,,Percentage of time that allocation is stalled due to load buffer full,,
Info.Buffer_Stalls,%_Mem_RSV_Stall_Cycles,,,100 * MEM_SCHEDULER_BLOCK.RSV / #CLKS,100 * MEM_SCHEDULER_BLOCK.RSV / #CLKS,100 * MEM_SCHEDULER_BLOCK.RSV / #CLKS,100 * MEM_SCHEDULER_BLOCK.RSV / #CLKS,,,Percentage of time that allocation is stalled due to memory reservation stations full,,
Info.Serialization ,%_Tpause_Cycles,,,100 * SERIALIZATION.C01_MS_SCB / #SLOTS,100 * SERIALIZATION.C01_MS_SCB / #SLOTS,100 * SERIALIZATION.C01_MS_SCB / #SLOTS,100 * SERIALIZATION.C01_MS_SCB / #SLOTS,,,Percentage of time that the core is stalled due to a TPAUSE or UMWAIT instruction ,,
Info.System,Turbo_Utilization,,,#CLKS / CPU_CLK_UNHALTED.REF_TSC,#CLKS / CPU_CLK_UNHALTED.REF_TSC,#CLKS / CPU_CLK_UNHALTED.REF_TSC,#CLKS / CPU_CLK_UNHALTED.REF_TSC,,,Average Frequency Utilization relative nominal frequency,,
Info.System,Kernel_Utilization,,,CPU_CLK_UNHALTED.CORE_P:sup / #CLKS,CPU_CLK_UNHALTED.CORE_P:sup / #CLKS,CPU_CLK_UNHALTED.CORE_P:sup / #CLKS,CPU_CLK_UNHALTED.CORE_P:sup / #CLKS,,,Fraction of cycles spent in Kernel mode,,
Info.System,CPU_Utilization,,,CPU_CLK_UNHALTED.REF_TSC / TSC,CPU_CLK_UNHALTED.REF_TSC / TSC,CPU_CLK_UNHALTED.REF_TSC / TSC,CPU_CLK_UNHALTED.REF_TSC / TSC,,,Average CPU Utilization,,
Info.System,MUX,,,#CLKS_P / #CLKS,#CLKS_P / #CLKS,#CLKS_P / #CLKS,#CLKS_P / #CLKS,,,PerfMon Event Multiplexing accuracy indicator,,( > 1.1 | < 0.9 )
Info.System,GFLOPs,,,FP_FLOPS_RETIRED.ALL / ( #DurationTimeInSeconds * 1000000000 ),FP_FLOPS_RETIRED.ALL / ( #DurationTimeInSeconds * 1000000000 ),FP_FLOPS_RETIRED.ALL / ( #DurationTimeInSeconds * 1000000000 ),#NA,,,"Giga Floating Point Operations Per Second. Aggregate across all supported options of: FP precisions, scalar and vector instructions, vector-width",Flops,
.,,,,,,,,,,,,
Aux,#CLKS,,,CPU_CLK_UNHALTED.CORE,CPU_CLK_UNHALTED.CORE,CPU_CLK_UNHALTED.CORE,CPU_CLK_UNHALTED.CORE,,Cycles,,,
Aux,#CLKS_P,,,CPU_CLK_UNHALTED.CORE_P,CPU_CLK_UNHALTED.CORE_P,CPU_CLK_UNHALTED.CORE_P,CPU_CLK_UNHALTED.CORE_P,,Cycles,,,
Aux,#SLOTS,,,#Pipeline_Width * #CLKS,#Pipeline_Width * #CLKS,#Pipeline_Width * #CLKS,#Pipeline_Width * #CLKS,,Cycles,,,
Aux,#Pipeline_Width,,,8,8,6,5,,Constant,pipeline allocation width,,
Aux,#DurationTimeInSeconds,,,DurationTimeInMilliSeconds / 1000,DurationTimeInMilliSeconds / 1000,DurationTimeInMilliSeconds / 1000,DurationTimeInMilliSeconds / 1000,,Count,,,
Aux,DurationTimeInMilliSeconds,,,,,,,,SystemParameter,The duration time in milliseconds of the profile,,
