TMA,Version,5.1-full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0730-full,,,full,full,full;bot;,full,full,full,full
.,,,Confidential,,,,,Server,,Server,Server,Server,,,,Server,,Server,Server,,Server,,Server,,Server,,Server,,Server,,,,,,,,,,,;bot;EDP;perf,,,,
FE,,,DSB,,,,( IDQ.DSB_UOPS:c8:i1:eq1 / 2 + IDQ.DSB_UOPS / ( IDQ.DSB_UOPS + IDQ.MITE_UOPS ) * ( IDQ_BUBBLES.STARVATION_CYCLES - IDQ_BUBBLES.FETCH_LATENCY ) ) / CLKS ,,,,,,,,,,,,,,,( IDQ.DSB_CYCLES_ANY  - IDQ.DSB_CYCLES_OK ) / CORE_CLKS / 2,,,,,,( IDQ.ALL_DSB_CYCLES_ANY_UOPS - IDQ.ALL_DSB_CYCLES_4_UOPS ) / CORE_CLKS / 2,,,,Slots_Estimated,This metric represents Core fraction of cycles in which CPU was likely limited due to DSB (decoded uop cache) fetch pipeline.  For example; inefficient utilization of the DSB cache structure or bank conflict when reading from it; are categorized here.,> 0.15 & P,5.1,DSB;FetchBW,,pub/v4,L3,,,,,
FE,,,LSD,,,,LSD.UOPS:c8:i1:eq1 / CLKS / 2,#NA,,,,#NA,,,,#NA,,,#NA,( LSD.CYCLES_ACTIVE - LSD.CYCLES_OK ) / CORE_CLKS / 2,,,,,,,,,,#NA,,Slots_Estimated,This metric represents Core fraction of cycles in which CPU was likely limited due to LSD (Loop Stream Detector) unit.  LSD typically does well sustaining Uop supply. However; in some rare cases; optimal uop-delivery could not be reached for small loops whose size (in terms of number of uops) does not suit well the LSD structure.,> 0.15 & P,5.1,FetchBW;LSD,,pub/v4,L3,,,,,
FE,,,MS,,,,IDQ.MS_CYCLES_ANY / CLKS / 1.8,,,,,,"max( IDQ.MS_CYCLES_ANY , UOPS_RETIRED.MS:c1 / #Retire_Fraction ) / CORE_CLKS / 2.4",,,,IDQ.MS_UOPS:c1 / CORE_CLKS / 3.3,,,,,#NA,,,,,,,,,,Slots_Estimated,This metric represents Core fraction of cycles in which CPU was likely limited due to the Microcode Sequencer (MS) unit - see Microcode_Sequencer node for details.,> 0.05 & P,5.1,MicroSeq,,pub/v5.1,L3,;bot;,,,,
BAD,Bad_Speculation,,,,,,"PERF_METRICS.BAD_SPECULATION / #PERF_METRICS_SUM if #PERF_METRICS_MSR else max( 1 - ( Frontend_Bound + Backend_Bound + Retiring ) , 0 )",,,,,,,,,,"max( 1 - ( Frontend_Bound + Backend_Bound + Retiring ) , 0 )",,,,,,,,,,,,,( UOPS_ISSUED.ANY - #Retired_Slots + #Pipeline_Width * #Recovery_Cycles ) / SLOTS,#NA,Slots,This category represents fraction of slots wasted due to incorrect speculations. This include slots used to issue uops that do not eventually get retired and slots for which the issue-pipeline was blocked due to recovery from earlier incorrect speculation. For example; wasted work due to miss-predicted branches are categorized under Bad Speculation category. Incorrect data speculation followed by Memory Ordering Nukes is another example.,> 0.15,4.1,TmaL1,,pub/v3,L1,;bot;,,,,
BAD,,Branch_Mispredicts,,,,,,,,,,,PERF_METRICS.BRANCH_MISPREDICTS / #PERF_METRICS_SUM if #PERF_METRICS_MSR else TOPDOWN.BR_MISPREDICT_SLOTS / SLOTS,,,,,,,,,,,,,,,,,#Mispred_Clears_Fraction * Bad_Speculation,SNB/JKT/IVB/IVT/HSW/HSX/BDW/BDX/SKL/KBL/KBLR/CFL/SKX/CLX/CPX ? BR_MISP_RETIRED.ALL_BRANCHES_PS : ICL/ICX/RKL/TGL ? BR_MISP_RETIRED.ALL_BRANCHES : TOPDOWN.BR_MISPREDICT_SLOTS,Slots,This metric represents fraction of slots the CPU has wasted due to Branch Misprediction.  These slots are either wasted by uops fetched from an incorrectly speculated program path; or stalls when the out-of-order part of the machine needs to recover its state from a speculative path.,> 0.1 & P; $issueBM,4.3,BadSpec;BrMispredicts;BvMP;TmaL2,,pub/v3,L2,;bot;,,,Using profile feedback in the compiler may help. Please see the Optimization Manual for general strategies for addressing branch misprediction issues.,http://www.intel.com/content/www/us/en/architecture-and-technology/64-ia-32-architectures-optimization-manual.html
BAD,,,Cond_NT_Mispredicts,,,,,,BR_MISP_RETIRED.COND_NTAKEN_COST*$PEBS / CLKS,,,,,,,,#NA,,,,,,,,,,,,,,,Clocks_Retired,This metric represents fraction of cycles the CPU was stalled due to retired misprediction by non-taken conditional branches.,> 0.05 & P,5.0,BrMispredicts,,,L3,,,,,
BAD,,,Cond_TK_Mispredicts,,,,#NA,,BR_MISP_RETIRED.COND_TAKEN_COST*$PEBS / CLKS,,,,,,,,#NA,,,,,,,,,,,,,,,Clocks_Retired,This metric represents fraction of cycles the CPU was stalled due to misprediction by taken conditional branches.,> 0.05 & P,5.0,BrMispredicts,,,L3,,,,,
BAD,,,Cond_TK_Bwd_Mispredicts,,,,BR_MISP_RETIRED.COND_TAKEN_BWD_COST*$PEBS / CLKS,,,,,,,,,,,,,,,,,,,,,,,,,Clocks_Retired,This metric represents fraction of cycles the CPU was stalled due to misprediction by backward-taken conditional branches.,> 0.05 & P,5.0,BrMispredicts,,,L3,,,,,
BAD,,,Cond_TK_Fwd_Mispredicts,,,,BR_MISP_RETIRED.COND_TAKEN_FWD_COST*$PEBS / CLKS,,,,,,,,,,,,,,,,,,,,,,,,,Clocks_Retired,This metric represents fraction of cycles the CPU was stalled due to misprediction by forward-taken conditional branches.,> 0.05 & P,5.0,BrMispredicts,,,L3,,,,,
BAD,,,Ind_Call_Mispredicts,,,,,,BR_MISP_RETIRED.INDIRECT_CALL_COST*$PEBS / CLKS,,,,,,,,#NA,,,,,,,,,,,,,,,Clocks_Retired,This metric represents fraction of cycles the CPU was stalled due to retired misprediction by indirect CALL instructions.,> 0.05 & P,5.0,BrMispredicts,,,L3,,,,,
BAD,,,Ind_Jump_Mispredicts,,,,,,"max( ( BR_MISP_RETIRED.INDIRECT_COST*$PEBS - BR_MISP_RETIRED.INDIRECT_CALL_COST*$PEBS ) / CLKS , 0 )",,,,,,,,#NA,,,,,,,,,,,,,,,Clocks_Retired,This metric represents fraction of cycles the CPU was stalled due to retired misprediction by indirect JMP instructions.,> 0.05 & P,5.0,BrMispredicts,,,L3,,,,,
BAD,,,Ret_Mispredicts,,,,,,BR_MISP_RETIRED.RET_COST*$PEBS / CLKS,,,,,,,,#NA,,,,,,,,,,,,,,,Clocks_Retired,This metric represents fraction of cycles the CPU was stalled due to retired misprediction by (indirect) RET instructions.,> 0.05 & P,5.0,BrMispredicts,,,L3,,,,,
BAD,,,Other_Mispredicts,,,,,,,,,,,,,,,,,,,"max( Branch_Mispredicts * ( 1 - BR_MISP_RETIRED.ALL_BRANCHES / ( INT_MISC.CLEARS_COUNT - MACHINE_CLEARS.COUNT ) ) , 0.0001 )",,,,,,,,,,Slots,This metric estimates fraction of slots the CPU was stalled due to other cases of misprediction (non-retired x86 branches or other types).,> 0.05 & P,4.6,BvIO;BrMispredicts,,pub/v4.6,L3,;bot;,,,,
BAD,,Machine_Clears,,,,,,,,,,,,,,,"max( 0 , Bad_Speculation - Branch_Mispredicts )",,,,,,,,,,,,,Bad_Speculation - Branch_Mispredicts,MACHINE_CLEARS.COUNT,Slots,This metric represents fraction of slots the CPU has wasted due to Machine Clears.  These slots are either wasted by uops fetched prior to the clear; or stalls the out-of-order portion of the machine needs to recover its state after the clear. For example; this can happen due to memory ordering Nukes (e.g. Memory Disambiguation) or Self-Modifying-Code (SMC) nukes.,> 0.1 & P; $issueMC; $issueSyncxn,4.5,BadSpec;BvMS;MachineClears;TmaL2,,pub/v3,L2,;bot;,,,"See ""Memory Disambiguation"" in Optimization Manual and:",https://software.intel.com/sites/default/files/m/d/4/1/d/8/sma.pdf
BAD,,,Other_Nukes,,,,,,,,,,,,,,,,,,,"max( Machine_Clears * ( 1 - MACHINE_CLEARS.MEMORY_ORDERING / MACHINE_CLEARS.COUNT ) , 0.0001 )",,,,,,,,#NA,,Slots,This metric represents fraction of slots the CPU has wasted due to Nukes (Machine Clears) not related to memory ordering.,> 0.05 & P,4.7,BvIO;Machine_Clears,,pub/5.0,L3,;bot;,,,,
BE,Backend_Bound,,,,,,PERF_METRICS.BACKEND_BOUND / #PERF_METRICS_SUM if #PERF_METRICS_MSR else TOPDOWN.BACKEND_BOUND_SLOTS / SLOTS,,,,,,PERF_METRICS.BACKEND_BOUND / #PERF_METRICS_SUM if #PERF_METRICS_MSR else TOPDOWN.BACKEND_BOUND_SLOTS / SLOTS,,,,PERF_METRICS.BACKEND_BOUND / #PERF_METRICS_SUM + ( #Pipeline_Width * INT_MISC.CLEARS_COUNT ) / SLOTS if #PERF_METRICS_MSR else ( TOPDOWN.BACKEND_BOUND_SLOTS + #Pipeline_Width * INT_MISC.CLEARS_COUNT ) / SLOTS,,,,,1 - Frontend_Bound - ( UOPS_ISSUED.ANY + #Pipeline_Width * #Recovery_Cycles ) / SLOTS,,,,,,,,1 - ( Frontend_Bound + Bad_Speculation + Retiring ),SNB/JKT/IVB/IVT/HSW/HSX/BDW/BDX/SKL/KBL/KBLR/CFL/SKX/CLX/CPX ? #NA : TOPDOWN.BACKEND_BOUND_SLOTS,Slots,This category represents fraction of slots where no uops are being delivered due to a lack of required resources for accepting new uops in the Backend. Backend is the portion of the processor core where the out-of-order scheduler dispatches ready uops into their respective execution units; and once completed these uops get retired according to program order. For example; stalls due to data-cache misses or stalls due to the divider unit being overloaded are both categorized under Backend Bound. Backend Bound is further divided into two main categories: Memory Bound and Core Bound.,> 0.2,4.3,BvOB;TmaL1,,pub/v3,L1,;bot;,,,,
BE/Mem,,Memory_Bound,,,,,,,,,,,PERF_METRICS.MEMORY_BOUND / #PERF_METRICS_SUM if #PERF_METRICS_MSR else TOPDOWN.MEMORY_BOUND_SLOTS / SLOTS,,,,,,,,,,,,,,,,,#Memory_Bound_Fraction * Backend_Bound,#NA,Slots,This metric represents fraction of slots the Memory subsystem within the Backend was a bottleneck.  Memory Bound estimates fraction of slots where pipeline is likely stalled due to demand load or store instructions. This accounts mainly for (1) non-completed in-flight memory demand loads which coincides with execution units starvation; in addition to (2) cases where stores could impose backpressure on the pipeline when many of them get buffered at the same time (less common out of the two).,> 0.2 & P,4.1,Backend;TmaL2,,pub/v3,L2,;bot;,,,,
BE/Mem,,,L1_Bound,,,,MEMORY_STALLS.L1 / CLKS,,,,,,"max( ( EXE_ACTIVITY.BOUND_ON_LOADS - MEMORY_ACTIVITY.STALLS_L1D_MISS ) / CLKS , 0 )",,,,,,,,,,,"max( ( CYCLE_ACTIVITY.STALLS_MEM_ANY - CYCLE_ACTIVITY.STALLS_L1D_MISS ) / CLKS , 0 )",,,,"max( ( #STALLS_MEM_ANY - CYCLE_ACTIVITY.STALLS_L1D_PENDING ) / CLKS , 0 )",,#NA,SNB/JKT ? #NA : IVB/IVT/HSW/HSX/BDW/BDX ? MEM_LOAD_UOPS_RETIRED.L1_HIT_PS : MEM_LOAD_RETIRED.L1_HIT,Stalls,This metric estimates how often the CPU was stalled without loads missing the L1 Data (L1D) cache.  The L1D cache typically has the shortest latency.  However; in certain cases like loads blocked on older stores; a load might suffer due to high latency even though it is being satisfied by the L1D. Another example is loads who miss in the TLB. These cases are characterized by execution unit stalls; while some non-completed demand load lives in the machine without having that demand load missing the L1 cache.,> 0.1 & P; $issueL1; $issueMC,4.4,CacheHits;MemoryBound;TmaL3mem,,pub/v3,L3,;bot;,,,,
BE/Mem,,,,DTLB_Load,,,,,"MEM_INST_RETIRED.STLB_HIT_LOADS*min($PEBS, #Mem_STLB_Hit_Cost)  / CLKS + Load_STLB_Miss",,,,"min( #Mem_STLB_Hit_Cost * DTLB_LOAD_MISSES.STLB_HIT:c1 + DTLB_LOAD_MISSES.WALK_ACTIVE , max( CYCLE_ACTIVITY.CYCLES_MEM_ANY - MEMORY_ACTIVITY.CYCLES_L1D_MISS , 0 ) ) / CLKS",,,,,,,,,"min( #Mem_STLB_Hit_Cost * DTLB_LOAD_MISSES.STLB_HIT:c1 + DTLB_LOAD_MISSES.WALK_ACTIVE , max( CYCLE_ACTIVITY.CYCLES_MEM_ANY - CYCLE_ACTIVITY.CYCLES_L1D_MISS , 0 ) ) / CLKS",,( #Mem_STLB_Hit_Cost * DTLB_LOAD_MISSES.STLB_HIT + DTLB_LOAD_MISSES.WALK_DURATION:c1 + 7 * DTLB_LOAD_MISSES.WALK_COMPLETED ) / CLKS,,,,,,( #Mem_STLB_Hit_Cost * DTLB_LOAD_MISSES.STLB_HIT + DTLB_LOAD_MISSES.WALK_DURATION ) / CLKS,SNB/JKT/IVB/IVT/HSW/HSX/BDW/BDX ? MEM_UOPS_RETIRED.STLB_MISS_LOADS_PS : MEM_INST_RETIRED.STLB_MISS_LOADS_PS,Clocks_Estimated,This metric roughly estimates the fraction of cycles where the Data TLB (DTLB) was missed by load accesses. TLBs (Translation Look-aside Buffers) are processor caches for recently used entries out of the Page Tables that are used to map virtual- to physical-addresses by the operating system. This metric approximates the potential delay of demand loads missing the first-level data TLB (assuming worst case scenario with back to back misses to different pages). This includes hitting in the second-level TLB (STLB) as well as performing a hardware page walk on an STLB miss.,> 0.1 & P; $issueTLB,4.4,BvMT;MemoryTLB,1.0,pub/v3.4,L4,;bot;,,,,#Link: Linux THP pages; similar Windows link.
BE/Mem,,,,,Load_STLB_Hit,,,,"max( 0 , DTLB_Load - Load_STLB_Miss )",,,,,,,,,,,,,DTLB_Load - Load_STLB_Miss,,,,,,,,#NA,,Clocks_Estimated,"This metric roughly estimates the fraction of cycles where the (first level) DTLB was missed by load accesses, that later on hit in second-level TLB (STLB)",> 0.05 & P,4.2,MemoryTLB,1.0,pub/5.0,L5,;bot;,,,,
BE/Mem,,,,,Load_STLB_Miss,,,,,,,,,,,,,,,,,DTLB_LOAD_MISSES.WALK_ACTIVE / CLKS,,,,,,,,#NA,,Clocks_Calculated,"This metric estimates the fraction of cycles where the Second-level TLB (STLB) was missed by load accesses, performing a hardware page walk",> 0.05 & P,3.6,MemoryTLB,1.0,pub/5.0,L4,;bot;,,,,
BE/Mem,,,,,,Load_STLB_Miss_4K,,,,,,,,,,,,,,,,Load_STLB_Miss * DTLB_LOAD_MISSES.WALK_COMPLETED_4K / ( DTLB_LOAD_MISSES.WALK_COMPLETED_4K + DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M + DTLB_LOAD_MISSES.WALK_COMPLETED_1G ),,,,,,,,,,Clocks_Estimated,This metric estimates the fraction of cycles to walk the memory paging structures to cache translation of 4 KB pages for data load accesses.,> 0.05 & P,5.0,MemoryTLB,,,L6,,,ZeroOk,,
BE/Mem,,,,,,Load_STLB_Miss_2M,,,,,,,,,,,,,,,,Load_STLB_Miss * DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M / ( DTLB_LOAD_MISSES.WALK_COMPLETED_4K + DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M + DTLB_LOAD_MISSES.WALK_COMPLETED_1G ),,,,,,,,,,Clocks_Estimated,This metric estimates the fraction of cycles to walk the memory paging structures to cache translation of 2 or 4 MB pages for data load accesses.,> 0.05 & P,5.0,MemoryTLB,,,L6,,,ZeroOk,,
BE/Mem,,,,,,Load_STLB_Miss_1G,,,,,,,,,,,,,,,,Load_STLB_Miss * DTLB_LOAD_MISSES.WALK_COMPLETED_1G / ( DTLB_LOAD_MISSES.WALK_COMPLETED_4K + DTLB_LOAD_MISSES.WALK_COMPLETED_2M_4M + DTLB_LOAD_MISSES.WALK_COMPLETED_1G ),,,,,,,,,,Clocks_Estimated,This metric estimates the fraction of cycles to walk the memory paging structures to cache translation of 1 GB pages for data load accesses.,> 0.05 & P,5.0,MemoryTLB,,,L6,,,ZeroOk,,
BE/Mem,,,,Store_Fwd_Blk,,,,,,,,,,,,,,,,,,,,,,,,13 * LD_BLOCKS.STORE_FORWARD / CLKS,,,,Clocks_Estimated,This metric roughly estimates fraction of cycles when the memory subsystem had loads blocked since they could not forward data from earlier (in program order) overlapping stores. To streamline memory operations in the pipeline; a load can avoid waiting for memory if a prior in-flight store is writing the data that the load wants to read (store forwarding process). However; in some cases the load may be blocked for a significant time pending the store forward. For example; when the prior store is writing a smaller region than the load is reading.,> 0.1 & P,3.3,,1.0,pub/5.0,L4,;bot;,,,,
BE/Mem,,,,Store_Early_Blk,,,7 * LD_BLOCKS.STORE_EARLY:c1 / CLKS,,,,,,#NA,,,,#NA,,,,,,,,,,,#NA,,,,Clocks_Estimated,This metric estimates clocks wasted due to loads blocked due to unknown store address (did not do memory disambiguation) or due to unknown store data,> 0.2,5.1,,1.0,,4,;bot;,,,GPZv4,
BE/Mem,,,,L1_Latency_Dependency,,,4 * DEPENDENT_LOADS.ANY:c1 / CLKS,,,,,,"min( 2 * ( MEM_INST_RETIRED.ALL_LOADS - MEM_LOAD_RETIRED.FB_HIT - MEM_LOAD_RETIRED.L1_MISS ) * Dependent_Loads_Weight / 100 , max( CYCLE_ACTIVITY.CYCLES_MEM_ANY - MEMORY_ACTIVITY.CYCLES_L1D_MISS , 0 ) ) / CLKS",,,,,,,,,"min( 2 * ( MEM_INST_RETIRED.ALL_LOADS_PS - MEM_LOAD_RETIRED.FB_HIT_PS - MEM_LOAD_RETIRED.L1_MISS_PS ) * Dependent_Loads_Weight / 100 , max( CYCLE_ACTIVITY.CYCLES_MEM_ANY - CYCLE_ACTIVITY.CYCLES_L1D_MISS , 0 ) ) / CLKS",,,,,,,,#NA,LNL ? DEPENDENT_LOADS.ANY : SNB/JKT ? #NA : IVB/IVT/HSW/HSX/BDW/BDX ? MEM_LOAD_UOPS_RETIRED.L1_HIT_PS : MEM_LOAD_RETIRED.L1_HIT,Clocks_Estimated,This metric ([SKL+] roughly; [LNL]) estimates fraction of cycles with demand load accesses that hit the L1D cache. The short latency of the L1D cache may be exposed in pointer-chasing memory access patterns as an example.,> 0.1 & P,5.0,BvML;MemoryLat,1.0,pub/5.0,L4,;bot;,,,,
BE/Mem,,,,L1_Latency_Capacity,,,"MEM_LOAD_RETIRED.L1_HIT_L1*min($PEBS, 9 ) / CLKS",,,,,,,,,,,,,,,,,,,,,,,#NA,,Clocks_Retired,This metric estimates fraction of cycles with demand load accesses that hit Level 1 after missing Level 0 within the L1D cache.,> 0.1 & P,5.0,BvML;MemoryLat,1.0,pub/5.0,L4,;bot;,,,,
BE/Mem,,,,Lock_Latency,,,,,MEM_INST_RETIRED.LOCK_LOADS*$PEBS / CLKS,,,,,,,,"( 16 * max( 0 , MEM_INST_RETIRED.LOCK_LOADS - L2_RQSTS.ALL_RFO ) + #Mem_Lock_St_Fraction * ( #Mem_L2_Store_Cost * L2_RQSTS.RFO_HIT + #ORO_Demand_RFO_C1 ) ) / CLKS",,,,,"( 12 * max( 0 , MEM_INST_RETIRED.LOCK_LOADS - L2_RQSTS.ALL_RFO ) + #Mem_Lock_St_Fraction * ( #Mem_L2_Store_Cost * L2_RQSTS.RFO_HIT + #ORO_Demand_RFO_C1 ) ) / CLKS",,,,,,#Mem_Lock_St_Fraction * #ORO_Demand_RFO_C1 / CLKS,,#NA,SNB/JKT ? #NA : IVB/IVT/HSW/HSX/BDW/BDX ? MEM_UOPS_RETIRED.LOCK_LOADS_PS : MEM_INST_RETIRED.LOCK_LOADS,Clocks,This metric represents fraction of cycles the CPU spent handling cache misses due to lock operations. Due to the microarchitecture handling of locks; they are classified as L1_Bound regardless of what memory source satisfied them.,> 0.2 & P; $issueRFO,4.3,LockCont;Offcore,1.0,pub/5.0,L4,;bot;,,,,
BE/Mem,,,,Split_Loads,,,,,"MEM_INST_RETIRED.SPLIT_LOADS*min($PEBS, Load_Miss_Real_Latency) / CLKS",,,,,,,,,,,,,,,,,Load_Miss_Real_Latency * LD_BLOCKS.NO_SR / CLKS,,13 * LD_BLOCKS.NO_SR / CLKS,,,SNB/JKT ? #NA : IVB/IVT/HSW/HSX/BDW/BDX ? MEM_UOPS_RETIRED.SPLIT_LOADS_PS : MEM_INST_RETIRED.SPLIT_LOADS_PS,Clocks_Calculated,This metric estimates fraction of cycles handling memory load split accesses - load that cross 64-byte cache line boundary. ,> 0.3,5.0,,1.0,pub/5.0,L4,;bot;,,,Consider aligning data or hot structure fields. See the Optimization Manual for more details,
BE/Mem,,,,4K_Aliasing,,,,,,,,,#NA,,,,,,,,,,,,,,,LD_BLOCKS_PARTIAL.ADDRESS_ALIAS / CLKS,,,,Clocks_Estimated,This metric estimates how often memory load accesses were aliased by preceding stores (in program order) with a 4K address offset. False match is possible; which incur a few cycles load re-issue. However; the short re-issue duration is often hidden by the out-of-order core and HW optimizations; hence a user may safely ignore a high value of this metric unless it manages to propagate up into parent nodes of the hierarchy (e.g. to L1_Bound).,> 0.2 & P,3.4,,,pub/5.0,L4,;bot;,,,Consider reducing independent loads/stores accesses with 4K offsets. See the Optimization Manual for more details,
BE/Mem,,,,FB_Full,,,L1D_MISS.FB_FULL / CLKS,,,,,,,,,,L1D_PEND_MISS.FB_FULL / CLKS,,,,,,,Load_Miss_Real_Latency * L1D_PEND_MISS.FB_FULL:c1 / CLKS,,Load_Miss_Real_Latency * L1D_PEND_MISS.REQUEST_FB_FULL:c1 / CLKS,,Load_Miss_Real_Latency * L1D_PEND_MISS.FB_FULL:c1 / CLKS,,,,Clocks_Calculated,This metric does a *rough estimation* of how often L1D Fill Buffer unavailability limited additional L1D miss memory access requests to proceed. The higher the metric value; the deeper the memory hierarchy level the misses are satisfied from (metric values >1 are valid). Often it hints on approaching bandwidth limits (to L2 cache; L3 cache or external memory).,> 0.3; $issueBW; $issueSL; $issueSmSt,4.0,BvMB;MemoryBW,,pub/v3.1,L4,;bot;,,,See $issueBW and $issueSL hints. Avoid software prefetches if indeed memory BW limited.,
BE/Mem,,,L2_Bound,,,,MEMORY_STALLS.L2 / CLKS,,,,,,( MEMORY_ACTIVITY.STALLS_L1D_MISS - MEMORY_ACTIVITY.STALLS_L2_MISS ) / CLKS,,,,( #LOAD_L2_HIT / ( #LOAD_L2_HIT + L1D_PEND_MISS.FB_FULL_PERIODS ) ) * #L2_Bound_Ratio,,,,,( #LOAD_L2_HIT / ( #LOAD_L2_HIT + L1D_PEND_MISS.FB_FULL:c1 ) ) * #L2_Bound_Ratio,,( CYCLE_ACTIVITY.STALLS_L1D_MISS - CYCLE_ACTIVITY.STALLS_L2_MISS ) / CLKS,,,,( CYCLE_ACTIVITY.STALLS_L1D_PENDING - CYCLE_ACTIVITY.STALLS_L2_PENDING ) / CLKS,,#NA,SNB/JKT ? #NA : IVB/IVT/HSW/HSX/BDW/BDX ? MEM_LOAD_UOPS_RETIRED.L2_HIT_PS : MEM_LOAD_RETIRED.L2_HIT,Stalls,This metric estimates how often the CPU was stalled due to L2 cache accesses by loads.  Avoiding cache misses (i.e. L1 misses/L2 hits) can improve the latency and increase performance.,> 0.05 & P,4.0,BvML;CacheHits;MemoryBound;TmaL3mem,,pub/v3,L3,;bot;,,,,
BE/Mem,,,,L2_Hit_Latency,,,,,"MEM_LOAD_RETIRED.L2_HIT*min($PEBS, #Mem_L2_Hit_Cost) * #FB_Factor / CLKS",,,,,,,,,,,,,#Mem_L2_Hit_Cost * MEM_LOAD_RETIRED.L2_HIT_PS * #FB_Factor / CLKS,,,,,,,,,SNB/JKT ? #NA : IVB/IVT/HSW/HSX/BDW/BDX ? MEM_LOAD_UOPS_RETIRED.L2_HIT_PS : MEM_LOAD_RETIRED.L2_HIT,Clocks_Retired,This metric represents fraction of cycles with demand load accesses that hit the L2 cache under unloaded scenarios (possibly L2 latency limited).  Avoiding L1 cache misses (i.e. L1 misses/L2 hits) will improve the latency.,> 0.05 & P,5.0,MemoryLat,,,L4,,,,,
BE/Mem,,,L3_Bound,,,,MEMORY_STALLS.L3 / CLKS,,,,,,( MEMORY_ACTIVITY.STALLS_L2_MISS - MEMORY_ACTIVITY.STALLS_L3_MISS ) / CLKS,,,,,,,,,( CYCLE_ACTIVITY.STALLS_L2_MISS - CYCLE_ACTIVITY.STALLS_L3_MISS ) / CLKS,,#Mem_L3_Hit_Fraction * CYCLE_ACTIVITY.STALLS_L2_MISS / CLKS,,,,,,#Mem_L3_Hit_Fraction * CYCLE_ACTIVITY.STALLS_L2_PENDING / CLKS,SNB/JKT/IVB/IVT ? MEM_LOAD_UOPS_RETIRED.LLC_HIT_PS : HSW/HSX/BDW/BDX ? MEM_LOAD_UOPS_RETIRED.L3_HIT_PS : MEM_LOAD_RETIRED.L3_HIT_PS,Stalls,This metric estimates how often the CPU was stalled due to loads accesses to L3 cache or contended with a sibling Core.  Avoiding cache misses (i.e. L2 misses/L3 hits) can improve the latency and increase performance.,> 0.05 & P,3.3,CacheHits;MemoryBound;TmaL3mem,,pub/v3,L3,;bot;,,,,
BE/Mem,,,,Contested_Accesses,,,"( MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS*min($PEBS, #Mem_XSNP_Hit_Cost - #Mem_L2_Hit_Cost) + MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM*min($PEBS, #Mem_XSNP_HitM_Cost - #Mem_L2_Hit_Cost) ) * #FB_Factor / CLKS",,"( MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS*min($PEBS, #Mem_XSNP_Hit_Cost - #Mem_L2_Hit_Cost) + MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD*min($PEBS, #Mem_XSNP_HitM_Cost - #Mem_L2_Hit_Cost) * #True_XSNP_HitM_Fraction ) * #FB_Factor / CLKS",,,,,,,,,,,,,( ( #Mem_XSNP_HitM_Cost - #Mem_L2_Hit_Cost ) * #LOAD_XSNP_HITM + ( #Mem_XSNP_Hit_Cost - #Mem_L2_Hit_Cost ) * #LOAD_XSNP_MISS ) * #FB_Factor / CLKS,,,,,,( #Mem_XSNP_HitM_Cost * #LOAD_XSNP_HITM + #Mem_XSNP_Hit_Cost * #LOAD_XSNP_MISS ) / CLKS,,,SNB/JKT ? #NA : IVB/IVT ? MEM_LOAD_UOPS_LLC_HIT_RETIRED.XSNP_HITM_PS;MEM_LOAD_UOPS_LLC_HIT_RETIRED.XSNP_MISS_PS : HSW/HSX/BDW/BDX ? MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HITM_PS;MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_MISS_PS : SKL/SKX/CFL/CLX/CPX/ICL/ICX/RKL ? MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS;MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS : MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD;MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS,Clocks_Estimated,This metric estimates fraction of cycles while the memory subsystem was handling synchronizations due to contested accesses. Contested accesses occur when data written by one Logical Processor are read by another Logical Processor on a different Physical Core. Examples of contested accesses include synchronizations such as locks; true data sharing such as modified locked variables; and false sharing.,> 0.05 & P; $issueSyncxn,4.2,BvMS;DataSharing;LockCont;Offcore;Snoop,1.0,pub/5.0,L4,;bot;,,ZeroOk,,
